name,length,theme,rationale,ideation_quality,crates_io,debian,debian_collision,homebrew,homebrew_collision,npm,crates_url,debian_search_url,homebrew_search_url,npm_url
forgx,5,coined-craft,"Coined from forge, hone, fit, or making",2,available,available,,available,,available,https://crates.io/crates/forgx,https://packages.debian.org/search?keywords=forgx&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=forgx,https://www.npmjs.com/package/forgx
forjo,5,coined-craft,"Coined from forge, hone, fit, or making",2,available,available,,available,,available,https://crates.io/crates/forjo,https://packages.debian.org/search?keywords=forjo&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=forjo,https://www.npmjs.com/package/forjo
gazea,5,coined-seeing,Coined from view/look/lens/gaze,2,available,available,,available,,available,https://crates.io/crates/gazea,https://packages.debian.org/search?keywords=gazea&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=gazea,https://www.npmjs.com/package/gazea
gazio,5,coined-seeing,Coined from view/look/lens/gaze,2,available,available,,available,,available,https://crates.io/crates/gazio,https://packages.debian.org/search?keywords=gazio&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=gazio,https://www.npmjs.com/package/gazio
grada,5,coined-quality,Coined around quality gates and approval,2,available,available,,available,,available,https://crates.io/crates/grada,https://packages.debian.org/search?keywords=grada&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=grada,https://www.npmjs.com/package/grada
gradi,5,coined-quality,Coined around quality gates and approval,2,available,available,,available,,available,https://crates.io/crates/gradi,https://packages.debian.org/search?keywords=gradi&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=gradi,https://www.npmjs.com/package/gradi
grado,5,coined-quality,Coined around quality gates and approval,2,available,available,,available,,available,https://crates.io/crates/grado,https://packages.debian.org/search?keywords=grado&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=grado,https://www.npmjs.com/package/grado
gradx,5,coined-quality,Coined around quality gates and approval,2,available,available,,available,,available,https://crates.io/crates/gradx,https://packages.debian.org/search?keywords=gradx&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=gradx,https://www.npmjs.com/package/gradx
helmi,5,coined-shipping,"Coined from ship, dock, quay, or readiness",2,available,available,,available,,available,https://crates.io/crates/helmi,https://packages.debian.org/search?keywords=helmi&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=helmi,https://www.npmjs.com/package/helmi
helmo,5,coined-shipping,"Coined from ship, dock, quay, or readiness",2,available,available,,available,,available,https://crates.io/crates/helmo,https://packages.debian.org/search?keywords=helmo&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=helmo,https://www.npmjs.com/package/helmo
helmr,5,coined-shipping,"Coined from ship, dock, quay, or readiness",2,available,available,,available,,available,https://crates.io/crates/helmr,https://packages.debian.org/search?keywords=helmr&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=helmr,https://www.npmjs.com/package/helmr
helmy,5,coined-shipping,"Coined from ship, dock, quay, or readiness",2,available,available,,available,,available,https://crates.io/crates/helmy,https://packages.debian.org/search?keywords=helmy&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=helmy,https://www.npmjs.com/package/helmy
hona,4,coined-craft,"Coined from forge, hone, fit, or making",2,available,available,,available,,available,https://crates.io/crates/hona,https://packages.debian.org/search?keywords=hona&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=hona,https://www.npmjs.com/package/hona
honer,5,coined-craft,"Coined from forge, hone, fit, or making",2,available,available,,available,,available,https://crates.io/crates/honer,https://packages.debian.org/search?keywords=honer&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=honer,https://www.npmjs.com/package/honer
honex,5,coined-craft,"Coined from forge, hone, fit, or making",2,available,available,,available,,available,https://crates.io/crates/honex,https://packages.debian.org/search?keywords=honex&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=honex,https://www.npmjs.com/package/honex
honi,4,coined-craft,"Coined from forge, hone, fit, or making",2,available,available,,available,,available,https://crates.io/crates/honi,https://packages.debian.org/search?keywords=honi&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=honi,https://www.npmjs.com/package/honi
honio,5,coined-craft,"Coined from forge, hone, fit, or making",2,available,available,,available,,available,https://crates.io/crates/honio,https://packages.debian.org/search?keywords=honio&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=honio,https://www.npmjs.com/package/honio
hony,4,coined-craft,"Coined from forge, hone, fit, or making",2,available,available,,available,,available,https://crates.io/crates/hony,https://packages.debian.org/search?keywords=hony&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=hony,https://www.npmjs.com/package/hony
hunio,5,coined-diff,"Coined from diff, hunk, patch, or merge",2,available,available,,available,,available,https://crates.io/crates/hunio,https://packages.debian.org/search?keywords=hunio&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=hunio,https://www.npmjs.com/package/hunio
hunka,5,coined-diff,"Coined from diff, hunk, patch, or merge",2,available,available,,available,,available,https://crates.io/crates/hunka,https://packages.debian.org/search?keywords=hunka&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=hunka,https://www.npmjs.com/package/hunka
hunki,5,coined-diff,"Coined from diff, hunk, patch, or merge",2,available,available,,available,,available,https://crates.io/crates/hunki,https://packages.debian.org/search?keywords=hunki&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=hunki,https://www.npmjs.com/package/hunki
hunko,5,coined-diff,"Coined from diff, hunk, patch, or merge",2,available,available,,available,,available,https://crates.io/crates/hunko,https://packages.debian.org/search?keywords=hunko&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=hunko,https://www.npmjs.com/package/hunko
hunks,5,code,"Code review, diffs, patches, or Git objects",2,available,available,,available,,available,https://crates.io/crates/hunks,https://packages.debian.org/search?keywords=hunks&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=hunks,https://www.npmjs.com/package/hunks
insee,5,coined-inspection,Coined from inspect/spec/scope,2,available,available,,available,,available,https://crates.io/crates/insee,https://packages.debian.org/search?keywords=insee&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=insee,https://www.npmjs.com/package/insee
insek,5,coined-inspection,Coined from inspect/spec/scope,2,available,available,,available,,available,https://crates.io/crates/insek,https://packages.debian.org/search?keywords=insek&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=insek,https://www.npmjs.com/package/insek
inspe,5,coined-inspection,Coined from inspect/spec/scope,2,available,available,,available,,available,https://crates.io/crates/inspe,https://packages.debian.org/search?keywords=inspe&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=inspe,https://www.npmjs.com/package/inspe
inspi,5,coined-inspection,Coined from inspect/spec/scope,2,available,available,,available,,available,https://crates.io/crates/inspi,https://packages.debian.org/search?keywords=inspi&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=inspi,https://www.npmjs.com/package/inspi
inspy,5,coined-inspection,Coined from inspect/spec/scope,2,available,available,,available,,available,https://crates.io/crates/inspy,https://packages.debian.org/search?keywords=inspy&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=inspy,https://www.npmjs.com/package/inspy
jigra,5,coined-craft,"Coined from forge, hone, fit, or making",2,available,available,,available,,available,https://crates.io/crates/jigra,https://packages.debian.org/search?keywords=jigra&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=jigra,https://www.npmjs.com/package/jigra
jigro,5,coined-craft,"Coined from forge, hone, fit, or making",2,available,available,,available,,available,https://crates.io/crates/jigro,https://packages.debian.org/search?keywords=jigro&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=jigro,https://www.npmjs.com/package/jigro
kedga,5,coined-shipping,"Coined from ship, dock, quay, or readiness",2,available,available,,available,,available,https://crates.io/crates/kedga,https://packages.debian.org/search?keywords=kedga&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=kedga,https://www.npmjs.com/package/kedga
kedgo,5,coined-shipping,"Coined from ship, dock, quay, or readiness",2,available,available,,available,,available,https://crates.io/crates/kedgo,https://packages.debian.org/search?keywords=kedgo&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=kedgo,https://www.npmjs.com/package/kedgo
keyda,5,coined-shipping,"Coined from ship, dock, quay, or readiness",2,available,available,,available,,available,https://crates.io/crates/keyda,https://packages.debian.org/search?keywords=keyda&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=keyda,https://www.npmjs.com/package/keyda
kritq,5,coined-critique,Coined from critique/critic,2,available,available,,available,,available,https://crates.io/crates/kritq,https://packages.debian.org/search?keywords=kritq&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=kritq,https://www.npmjs.com/package/kritq
krity,5,coined-critique,Coined from critique/critic,2,available,available,,available,,available,https://crates.io/crates/krity,https://packages.debian.org/search?keywords=krity&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=krity,https://www.npmjs.com/package/krity
krivo,5,coined-critique,Coined from critique/critic,2,available,available,,available,,available,https://crates.io/crates/krivo,https://packages.debian.org/search?keywords=krivo&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=krivo,https://www.npmjs.com/package/krivo
lensa,5,coined-seeing,Coined from view/look/lens/gaze,2,available,available,,available,,available,https://crates.io/crates/lensa,https://packages.debian.org/search?keywords=lensa&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=lensa,https://www.npmjs.com/package/lensa
lensi,5,coined-seeing,Coined from view/look/lens/gaze,2,available,available,,available,,available,https://crates.io/crates/lensi,https://packages.debian.org/search?keywords=lensi&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=lensi,https://www.npmjs.com/package/lensi
lensr,5,coined-seeing,Coined from view/look/lens/gaze,2,available,available,,available,,available,https://crates.io/crates/lensr,https://packages.debian.org/search?keywords=lensr&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=lensr,https://www.npmjs.com/package/lensr
lensy,5,coined-seeing,Coined from view/look/lens/gaze,2,available,available,,available,,available,https://crates.io/crates/lensy,https://packages.debian.org/search?keywords=lensy&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=lensy,https://www.npmjs.com/package/lensy
lokra,5,coined-seeing,Coined from view/look/lens/gaze,2,available,available,,available,,available,https://crates.io/crates/lokra,https://packages.debian.org/search?keywords=lokra&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=lokra,https://www.npmjs.com/package/lokra
lokro,5,coined-seeing,Coined from view/look/lens/gaze,2,available,available,,available,,available,https://crates.io/crates/lokro,https://packages.debian.org/search?keywords=lokro&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=lokro,https://www.npmjs.com/package/lokro
loku,4,coined-seeing,Coined from view/look/lens/gaze,2,available,available,,available,,available,https://crates.io/crates/loku,https://packages.debian.org/search?keywords=loku&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=loku,https://www.npmjs.com/package/loku
looka,5,coined-seeing,Coined from view/look/lens/gaze,2,available,available,,available,,available,https://crates.io/crates/looka,https://packages.debian.org/search?keywords=looka&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=looka,https://www.npmjs.com/package/looka
looki,5,coined-seeing,Coined from view/look/lens/gaze,2,available,available,,available,,available,https://crates.io/crates/looki,https://packages.debian.org/search?keywords=looki&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=looki,https://www.npmjs.com/package/looki
looko,5,coined-seeing,Coined from view/look/lens/gaze,2,available,available,,available,,available,https://crates.io/crates/looko,https://packages.debian.org/search?keywords=looko&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=looko,https://www.npmjs.com/package/looko
makio,5,coined-craft,"Coined from forge, hone, fit, or making",2,available,available,,available,,available,https://crates.io/crates/makio,https://packages.debian.org/search?keywords=makio&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=makio,https://www.npmjs.com/package/makio
marqa,5,coined-notes,"Coined from note, mark, or annotation",2,available,available,,available,,available,https://crates.io/crates/marqa,https://packages.debian.org/search?keywords=marqa&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=marqa,https://www.npmjs.com/package/marqa
marqi,5,coined-notes,"Coined from note, mark, or annotation",2,available,available,,available,,available,https://crates.io/crates/marqi,https://packages.debian.org/search?keywords=marqi&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=marqi,https://www.npmjs.com/package/marqi
merga,5,coined-diff,"Coined from diff, hunk, patch, or merge",2,available,available,,available,,available,https://crates.io/crates/merga,https://packages.debian.org/search?keywords=merga&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=merga,https://www.npmjs.com/package/merga
mergi,5,coined-diff,"Coined from diff, hunk, patch, or merge",2,available,available,,available,,available,https://crates.io/crates/mergi,https://packages.debian.org/search?keywords=mergi&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=mergi,https://www.npmjs.com/package/mergi
mergo,5,coined-diff,"Coined from diff, hunk, patch, or merge",2,available,available,,available,,available,https://crates.io/crates/mergo,https://packages.debian.org/search?keywords=mergo&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=mergo,https://www.npmjs.com/package/mergo
mergr,5,coined-diff,"Coined from diff, hunk, patch, or merge",2,available,available,,available,,available,https://crates.io/crates/mergr,https://packages.debian.org/search?keywords=mergr&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=mergr,https://www.npmjs.com/package/mergr
mergx,5,coined-diff,"Coined from diff, hunk, patch, or merge",2,available,available,,available,,available,https://crates.io/crates/mergx,https://packages.debian.org/search?keywords=mergx&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=mergx,https://www.npmjs.com/package/mergx
merio,5,coined-diff,"Coined from diff, hunk, patch, or merge",2,available,available,,available,,available,https://crates.io/crates/merio,https://packages.debian.org/search?keywords=merio&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=merio,https://www.npmjs.com/package/merio
merix,5,coined-diff,"Coined from diff, hunk, patch, or merge",2,available,available,,available,,available,https://crates.io/crates/merix,https://packages.debian.org/search?keywords=merix&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=merix,https://www.npmjs.com/package/merix
misen,5,coined-cooking,"Coined from taste, proof, mise, or the pass",2,available,available,,available,,available,https://crates.io/crates/misen,https://packages.debian.org/search?keywords=misen&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=misen,https://www.npmjs.com/package/misen
misra,5,coined-cooking,"Coined from taste, proof, mise, or the pass",2,available,available,,available,,available,https://crates.io/crates/misra,https://packages.debian.org/search?keywords=misra&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=misra,https://www.npmjs.com/package/misra
misro,5,coined-cooking,"Coined from taste, proof, mise, or the pass",2,available,available,,available,,available,https://crates.io/crates/misro,https://packages.debian.org/search?keywords=misro&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=misro,https://www.npmjs.com/package/misro
mooro,5,coined-anchor,"Coined from moor, anchor, bind, or rivet",2,available,available,,available,,available,https://crates.io/crates/mooro,https://packages.debian.org/search?keywords=mooro&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=mooro,https://www.npmjs.com/package/mooro
morri,5,coined-anchor,"Coined from moor, anchor, bind, or rivet",2,available,available,,available,,available,https://crates.io/crates/morri,https://packages.debian.org/search?keywords=morri&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=morri,https://www.npmjs.com/package/morri
morry,5,coined-anchor,"Coined from moor, anchor, bind, or rivet",2,available,available,,available,,available,https://crates.io/crates/morry,https://packages.debian.org/search?keywords=morry&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=morry,https://www.npmjs.com/package/morry
notio,5,coined-notes,"Coined from note, mark, or annotation",2,available,available,,available,,available,https://crates.io/crates/notio,https://packages.debian.org/search?keywords=notio&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=notio,https://www.npmjs.com/package/notio
notly,5,coined-notes,"Coined from note, mark, or annotation",2,available,available,,available,,available,https://crates.io/crates/notly,https://packages.debian.org/search?keywords=notly&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=notly,https://www.npmjs.com/package/notly
notri,5,coined-notes,"Coined from note, mark, or annotation",2,available,available,,available,,available,https://crates.io/crates/notri,https://packages.debian.org/search?keywords=notri&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=notri,https://www.npmjs.com/package/notri
notro,5,coined-notes,"Coined from note, mark, or annotation",2,available,available,,available,,available,https://crates.io/crates/notro,https://packages.debian.org/search?keywords=notro&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=notro,https://www.npmjs.com/package/notro
notry,5,coined-notes,"Coined from note, mark, or annotation",2,available,available,,available,,available,https://crates.io/crates/notry,https://packages.debian.org/search?keywords=notry&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=notry,https://www.npmjs.com/package/notry
notza,5,coined-notes,"Coined from note, mark, or annotation",2,available,available,,available,,available,https://crates.io/crates/notza,https://packages.debian.org/search?keywords=notza&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=notza,https://www.npmjs.com/package/notza
notzo,5,coined-notes,"Coined from note, mark, or annotation",2,available,available,,available,,available,https://crates.io/crates/notzo,https://packages.debian.org/search?keywords=notzo&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=notzo,https://www.npmjs.com/package/notzo
okaya,5,coined-quality,Coined around quality gates and approval,2,available,available,,available,,available,https://crates.io/crates/okaya,https://packages.debian.org/search?keywords=okaya&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=okaya,https://www.npmjs.com/package/okaya
okayo,5,coined-quality,Coined around quality gates and approval,2,available,available,,available,,available,https://crates.io/crates/okayo,https://packages.debian.org/search?keywords=okayo&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=okayo,https://www.npmjs.com/package/okayo
okro,4,coined-quality,Coined around quality gates and approval,2,available,available,,available,,available,https://crates.io/crates/okro,https://packages.debian.org/search?keywords=okro&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=okro,https://www.npmjs.com/package/okro
passa,5,coined-quality,Coined around quality gates and approval,2,available,available,,available,,available,https://crates.io/crates/passa,https://packages.debian.org/search?keywords=passa&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=passa,https://www.npmjs.com/package/passa
passi,5,coined-quality,Coined around quality gates and approval,2,available,available,,available,,available,https://crates.io/crates/passi,https://packages.debian.org/search?keywords=passi&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=passi,https://www.npmjs.com/package/passi
patix,5,coined-diff,"Coined from diff, hunk, patch, or merge",2,available,available,,available,,available,https://crates.io/crates/patix,https://packages.debian.org/search?keywords=patix&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=patix,https://www.npmjs.com/package/patix
patly,5,coined-diff,"Coined from diff, hunk, patch, or merge",2,available,available,,available,,available,https://crates.io/crates/patly,https://packages.debian.org/search?keywords=patly&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=patly,https://www.npmjs.com/package/patly
patri,5,coined-diff,"Coined from diff, hunk, patch, or merge",2,available,available,,available,,available,https://crates.io/crates/patri,https://packages.debian.org/search?keywords=patri&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=patri,https://www.npmjs.com/package/patri
patry,5,coined-diff,"Coined from diff, hunk, patch, or merge",2,available,available,,available,,available,https://crates.io/crates/patry,https://packages.debian.org/search?keywords=patry&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=patry,https://www.npmjs.com/package/patry
peeka,5,coined-seeing,Coined from view/look/lens/gaze,2,available,available,,available,,available,https://crates.io/crates/peeka,https://packages.debian.org/search?keywords=peeka&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=peeka,https://www.npmjs.com/package/peeka
plati,5,coined-cooking,"Coined from taste, proof, mise, or the pass",2,available,available,,available,,available,https://crates.io/crates/plati,https://packages.debian.org/search?keywords=plati&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=plati,https://www.npmjs.com/package/plati
platr,5,coined-cooking,"Coined from taste, proof, mise, or the pass",2,available,available,,available,,available,https://crates.io/crates/platr,https://packages.debian.org/search?keywords=platr&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=platr,https://www.npmjs.com/package/platr
plumo,5,coined-craft,"Coined from forge, hone, fit, or making",2,available,available,,available,,available,https://crates.io/crates/plumo,https://packages.debian.org/search?keywords=plumo&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=plumo,https://www.npmjs.com/package/plumo
probi,5,coined-sifting,"Coined from sift, scan, trace, or probe",2,available,available,,available,,available,https://crates.io/crates/probi,https://packages.debian.org/search?keywords=probi&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=probi,https://www.npmjs.com/package/probi
probr,5,coined-sifting,"Coined from sift, scan, trace, or probe",2,available,available,,available,,available,https://crates.io/crates/probr,https://packages.debian.org/search?keywords=probr&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=probr,https://www.npmjs.com/package/probr
probu,5,coined-sifting,"Coined from sift, scan, trace, or probe",2,available,available,,available,,available,https://crates.io/crates/probu,https://packages.debian.org/search?keywords=probu&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=probu,https://www.npmjs.com/package/probu
probx,5,coined-sifting,"Coined from sift, scan, trace, or probe",2,available,available,,available,,available,https://crates.io/crates/probx,https://packages.debian.org/search?keywords=probx&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=probx,https://www.npmjs.com/package/probx
provo,5,coined-vetting,"Coined from vet, proof, or verification",2,available,available,,available,,available,https://crates.io/crates/provo,https://packages.debian.org/search?keywords=provo&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=provo,https://www.npmjs.com/package/provo
provu,5,coined-vetting,"Coined from vet, proof, or verification",2,available,available,,available,,available,https://crates.io/crates/provu,https://packages.debian.org/search?keywords=provu&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=provu,https://www.npmjs.com/package/provu
provx,5,coined-vetting,"Coined from vet, proof, or verification",2,available,available,,available,,available,https://crates.io/crates/provx,https://packages.debian.org/search?keywords=provx&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=provx,https://www.npmjs.com/package/provx
prufa,5,coined-vetting,"Coined from vet, proof, or verification",2,available,available,,available,,available,https://crates.io/crates/prufa,https://packages.debian.org/search?keywords=prufa&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=prufa,https://www.npmjs.com/package/prufa
prufi,5,coined-vetting,"Coined from vet, proof, or verification",2,available,available,,available,,available,https://crates.io/crates/prufi,https://packages.debian.org/search?keywords=prufi&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=prufi,https://www.npmjs.com/package/prufi
prufo,5,coined-vetting,"Coined from vet, proof, or verification",2,available,available,,available,,available,https://crates.io/crates/prufo,https://packages.debian.org/search?keywords=prufo&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=prufo,https://www.npmjs.com/package/prufo
pruv,4,coined-vetting,"Coined from vet, proof, or verification",2,available,available,,available,,available,https://crates.io/crates/pruv,https://packages.debian.org/search?keywords=pruv&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=pruv,https://www.npmjs.com/package/pruv
pruva,5,coined-vetting,"Coined from vet, proof, or verification",2,available,available,,available,,available,https://crates.io/crates/pruva,https://packages.debian.org/search?keywords=pruva&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=pruva,https://www.npmjs.com/package/pruva
pruvo,5,coined-vetting,"Coined from vet, proof, or verification",2,available,available,,available,,available,https://crates.io/crates/pruvo,https://packages.debian.org/search?keywords=pruvo&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=pruvo,https://www.npmjs.com/package/pruvo
pruvy,5,coined-vetting,"Coined from vet, proof, or verification",2,available,available,,available,,available,https://crates.io/crates/pruvy,https://packages.debian.org/search?keywords=pruvy&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=pruvy,https://www.npmjs.com/package/pruvy
pulsa,5,coined-sifting,"Coined from sift, scan, trace, or probe",2,available,available,,available,,available,https://crates.io/crates/pulsa,https://packages.debian.org/search?keywords=pulsa&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=pulsa,https://www.npmjs.com/package/pulsa
pulsi,5,coined-sifting,"Coined from sift, scan, trace, or probe",2,available,available,,available,,available,https://crates.io/crates/pulsi,https://packages.debian.org/search?keywords=pulsi&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=pulsi,https://www.npmjs.com/package/pulsi
qlty,4,coined-quality,Coined around quality gates and approval,2,available,available,,available,,available,https://crates.io/crates/qlty,https://packages.debian.org/search?keywords=qlty&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=qlty,https://www.npmjs.com/package/qlty
qltyx,5,coined-quality,Coined around quality gates and approval,2,available,available,,available,,available,https://crates.io/crates/qltyx,https://packages.debian.org/search?keywords=qltyx&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=qltyx,https://www.npmjs.com/package/qltyx
quaio,5,coined-shipping,"Coined from ship, dock, quay, or readiness",2,available,available,,available,,available,https://crates.io/crates/quaio,https://packages.debian.org/search?keywords=quaio&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=quaio,https://www.npmjs.com/package/quaio
quali,5,coined-quality,Coined around quality gates and approval,2,available,available,,available,,available,https://crates.io/crates/quali,https://packages.debian.org/search?keywords=quali&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=quali,https://www.npmjs.com/package/quali
qualo,5,coined-quality,Coined around quality gates and approval,2,available,available,,available,,available,https://crates.io/crates/qualo,https://packages.debian.org/search?keywords=qualo&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=qualo,https://www.npmjs.com/package/qualo
qualx,5,coined-quality,Coined around quality gates and approval,2,available,available,,available,,available,https://crates.io/crates/qualx,https://packages.debian.org/search?keywords=qualx&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=qualx,https://www.npmjs.com/package/qualx
qualy,5,coined-quality,Coined around quality gates and approval,2,available,available,,available,,available,https://crates.io/crates/qualy,https://packages.debian.org/search?keywords=qualy&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=qualy,https://www.npmjs.com/package/qualy
quaya,5,coined-shipping,"Coined from ship, dock, quay, or readiness",2,available,available,,available,,available,https://crates.io/crates/quaya,https://packages.debian.org/search?keywords=quaya&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=quaya,https://www.npmjs.com/package/quaya
quayo,5,coined-shipping,"Coined from ship, dock, quay, or readiness",2,available,available,,available,,available,https://crates.io/crates/quayo,https://packages.debian.org/search?keywords=quayo&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=quayo,https://www.npmjs.com/package/quayo
quayr,5,coined-shipping,"Coined from ship, dock, quay, or readiness",2,available,available,,available,,available,https://crates.io/crates/quayr,https://packages.debian.org/search?keywords=quayr&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=quayr,https://www.npmjs.com/package/quayr
redly,5,coined-shipping,"Coined from ship, dock, quay, or readiness",2,available,available,,available,,available,https://crates.io/crates/redly,https://packages.debian.org/search?keywords=redly&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=redly,https://www.npmjs.com/package/redly
redra,5,coined-shipping,"Coined from ship, dock, quay, or readiness",2,available,available,,available,,available,https://crates.io/crates/redra,https://packages.debian.org/search?keywords=redra&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=redra,https://www.npmjs.com/package/redra
redro,5,coined-shipping,"Coined from ship, dock, quay, or readiness",2,available,available,,available,,available,https://crates.io/crates/redro,https://packages.debian.org/search?keywords=redro&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=redro,https://www.npmjs.com/package/redro
